serial_number,session_number,created_datetime,signal_1,signal_2,signal_3,signal_4,signal_5
32,70006,2022-09-10 00:00:13,-1.949545702,1.895695814,4.039726358,6.042810356,8.043277464
32,70006,2022-09-10 00:00:14,-1.94406499,2.092840617,3.916677413,6.104864355,8.016822474
32,70006,2022-09-10 00:00:15,-1.872859854,2.196398662,4.0056963,5.941566723,7.990552916
32,70006,2022-09-10 00:00:16,-2.110102288,1.964741956,4.044080219,6.004750909,7.988336988
32,70006,2022-09-10 00:00:17,-1.971895964,1.934537322,4.027369351,6.017432666,7.96332528
32,70006,2022-09-10 00:00:18,-2.173557406,2.019718638,4.156938921,6.032307967,7.926545805
32,70006,2022-09-10 00:00:19,-2.268837764,1.853194861,3.87351844,6.043095499,7.978600385
32,70006,2022-09-10 00:00:20,-2.041718579,2.000256129,3.99970605,5.905828015,7.969413052
32,70006,2022-09-10 00:00:21,-2.058153781,2.128543326,4.050411522,6.019923412,7.881424791
32,70006,2022-09-10 00:00:22,-2.05313129,2.016771317,3.93316061,5.952802545,7.796373548
32,70006,2022-09-10 00:00:23,-2.078820245,1.850455888,4.082938742,6.092701663,7.805655293
32,70006,2022-09-10 00:00:24,-2.104117389,1.956007642,4.120898283,6.013172957,7.985214238
32,70006,2022-09-10 00:00:25,-1.938066235,1.877281586,4.088670185,5.917432046,7.9728182
32,70006,2022-09-10 00:00:26,-2.037024303,1.917265969,4.004717864,6.104913976,8.0423691
32,70006,2022-09-10 00:00:27,-1.961750031,1.960111392,4.074020386,6.001648558,8.046535845
32,70006,2022-09-10 00:00:28,-2.145661482,2.099950961,3.852143208,6.061414593,7.900798498
32,70006,2022-09-10 00:00:29,-2.052439828,2.08775012,3.856445299,6.104757743,8.059330874
32,70006,2022-09-10 00:00:30,-1.887409176,2.206462829,4.041865444,6.058023395,8.045784213
32,70006,2022-09-10 00:00:31,-1.818040943,2.07924785,3.914556075,5.817347183,7.825412099
32,70006,2022-09-10 00:00:32,-2.012223986,1.908983093,4.106328228,5.863930132,8.048590166
32,70006,2022-09-10 00:00:33,-2.055530795,1.836685278,4.048681738,5.939706328,7.996028311
32,70006,2022-09-10 00:00:34,-1.986024401,1.895689692,4.039571239,5.962628545,7.927245904
32,70006,2022-09-10 00:00:35,-1.986244399,1.921625221,4.137337209,6.03759916,7.796573103
32,70006,2022-09-10 00:00:36,-2.113539943,2.110649657,4.085906312,5.972282865,7.784526718
32,70006,2022-09-10 00:00:37,-1.883680433,1.873391268,3.712965382,5.911289271,7.842952065
32,70006,2022-09-10 00:00:38,-1.983755347,1.828335097,3.925150607,6.102850443,8.066181497
32,70006,2022-09-10 00:00:39,-1.869351613,1.815666445,3.947350889,6.044189029,8.034514382
32,70006,2022-09-10 00:00:40,-1.991015175,2.050156065,3.997745169,5.951867735,7.886205725
32,70006,2022-09-10 00:00:41,-2.083330128,1.812930667,3.913644851,6.010994997,8.042695802
32,70006,2022-09-10 00:00:42,-2.058762091,2.012641737,4.008479226,6.092054036,8.001743006
32,70006,2022-09-10 00:00:43,-1.779752888,2.14847121,3.970967708,5.950681283,7.857882481
32,70006,2022-09-10 00:00:44,-2.156327655,2.091411063,3.995993383,6.000007492,8.100225728
32,70006,2022-09-10 00:00:45,-1.992698327,2.200918756,3.999106751,6.011470838,7.954100031
32,70006,2022-09-10 00:00:46,-1.948490495,2.06656698,3.90445774,5.96872912,7.98204856
32,70006,2022-09-10 00:00:47,-2.073463321,2.096306327,3.899802301,5.946573616,8.011477282
32,70006,2022-09-10 00:00:48,-2.109243815,1.766672051,4.046676964,5.90647833,7.909125901
32,70006,2022-09-10 00:00:49,-1.960579432,2.022046538,3.908267229,6.006416434,7.981669595
32,70006,2022-09-10 00:00:50,-1.880874733,2.011674462,3.961170387,6.01687443,7.862428236
32,70006,2022-09-10 00:00:51,-2.08670064,2.013589678,4.184960362,5.951742109,8.038805635
32,70006,2022-09-10 00:00:52,-2.177579981,1.936898067,3.919150413,5.952832239,8.233921467
32,70006,2022-09-10 00:00:53,-1.95853238,1.870899286,4.132855181,6.010583266,8.038175066
32,70006,2022-09-10 00:00:54,-1.973985328,1.963603402,4.085465528,6.156645148,8.005954705
32,70006,2022-09-10 00:00:55,-1.966969233,2.069078792,4.172359294,5.958608881,8.136559253
32,70006,2022-09-10 00:00:56,-1.799965992,2.033920861,3.967838555,6.018267891,7.975335982
32,70006,2022-09-10 00:00:57,-2.081735389,2.019309372,3.771921448,6.106019682,7.983156334
32,70006,2022-09-10 00:00:58,-1.978522175,1.913178018,4.037823529,5.943062947,7.842985881
32,70006,2022-09-10 00:00:59,-2.088998077,2.06440225,4.113531017,6.04603428,7.961752136
32,70006,2022-09-10 00:01:00,-1.854960872,2.107450833,3.84321222,5.912741631,7.991514565
32,70006,2022-09-10 00:01:01,-2.041817841,2.149434292,4.056255258,6.056088646,8.031705588
32,70006,2022-09-10 00:01:02,-1.928027553,2.034309493,4.116872207,6.035529569,8.017127152
32,70006,2022-09-10 00:01:03,-2.1147762,1.940100026,4.027730326,5.946914169,7.821901676
32,70006,2022-09-10 00:01:04,-1.828290826,2.0730673,4.038388817,6.06445172,7.977622054
32,70006,2022-09-10 00:01:05,-1.979603202,2.132508332,4.077313575,5.961646934,8.0273253
32,70006,2022-09-10 00:01:06,-2.019908174,2.065024145,4.050655333,6.012319352,7.963992472
32,70006,2022-09-10 00:01:07,-1.970257906,2.135489152,4.170637731,5.938558035,7.938648729
32,70006,2022-09-10 00:01:08,-2.022700817,2.031891824,3.958193047,6.027194996,7.91858837
32,70006,2022-09-10 00:01:09,-1.91800173,2.115291487,3.925732481,6.091064456,8.028584582
32,70006,2022-09-10 00:01:10,-1.811936658,1.979265045,4.074288815,6.060385034,7.901091961
32,70006,2022-09-10 00:01:11,-1.894481553,1.836562972,3.991586681,5.945254313,7.934063171
32,70006,2022-09-10 00:01:12,-1.920605839,2.017365651,3.718445536,6.045053129,8.030529334
32,70006,2022-09-10 00:01:13,-1.970566484,1.939233199,3.942854186,5.991852584,8.079176349
32,70006,2022-09-10 00:01:14,-1.824080413,2.009180865,4.043332831,5.892688035,8.079542146
32,70006,2022-09-10 00:01:15,-1.71128097,2.01520649,3.991481387,6.000248269,8.079436367
32,70006,2022-09-10 00:01:16,-2.026569823,1.937554774,4.038129592,6.130601768,7.851564545
32,70006,2022-09-10 00:01:17,-2.068035176,2.063004802,3.964094679,6.204988306,8.096035095
32,70006,2022-09-10 00:01:18,-1.987975045,1.982091391,3.99503814,6.078608089,7.968326785
32,70006,2022-09-10 00:01:19,-2.016859218,1.92354743,3.786069743,6.019452272,8.199699731
32,70006,2022-09-10 00:01:20,-1.905195315,1.869249393,3.994231176,6.117419764,8.052208146
32,70006,2022-09-10 00:01:21,-1.761637927,2.1051542,4.037790586,5.84548207,8.175604721
32,70006,2022-09-10 00:01:22,-1.821165332,1.885084008,3.99566019,5.887611153,8.063617698
32,70006,2022-09-10 00:01:23,-1.952305032,2.193206345,4.056390653,5.953998126,8.036214497
32,70006,2022-09-10 00:01:24,-1.883200507,2.054100821,4.06211811,6.012121687,8.10270961
32,70006,2022-09-10 00:01:25,-1.978705659,1.961699937,3.919411076,5.97790027,8.045261621
32,70006,2022-09-10 00:01:26,-1.946480529,2.011331398,3.946385491,5.917837404,7.940992373
32,70006,2022-09-10 00:01:27,-2.082717987,1.830445859,3.928952002,5.820142989,7.8369226
32,70006,2022-09-10 00:01:28,-2.026304715,2.023481964,3.910869663,6.103087996,8.060904007
32,70006,2022-09-10 00:01:29,-2.081466063,1.831739945,4.050861233,5.994651669,7.951859007
32,70006,2022-09-10 00:01:30,-2.147750447,1.971597089,3.949285629,5.948509167,7.850277755
32,70006,2022-09-10 00:01:31,-2.046971772,2.18648524,3.949228768,5.952573217,7.954135845
32,70006,2022-09-10 00:01:32,-1.900019017,2.07305497,3.890159781,6.03260375,8.056170017
32,70006,2022-09-10 00:01:33,-0.15665248,2.011342521,3.86795726,6.130438088,8.141234735
104,70007,2022-09-03 00:00:00,-0.005521428,0.965074851,1.95873827,2.934732247,3.979055624
104,70007,2022-09-03 00:00:01,0.025059675,1.021688378,1.844541265,2.943221672,3.901660222
104,70007,2022-09-03 00:00:02,0.099302923,0.981717369,1.817443293,2.978511898,3.905656197
104,70007,2022-09-03 00:00:03,-0.120887123,1.178415378,2.083047718,3.048710733,4.067288785
104,70007,2022-09-03 00:00:04,0.064091585,1.014027185,2.14964254,3.053799409,4.071429
104,70007,2022-09-03 00:00:05,-0.219337851,1.008168291,1.924451113,3.035430215,3.93397378
104,70007,2022-09-03 00:00:06,-0.115482783,1.119773648,1.806468236,3.113942242,4.188253886
104,70007,2022-09-03 00:00:07,-0.040305537,1.190692693,1.880381601,2.968980813,3.979577063
104,70007,2022-09-03 00:00:08,-0.001295693,0.99030333,1.925688086,3.027306784,3.940325002
104,70007,2022-09-03 00:00:09,-0.070905979,1.222935227,1.992114613,3.007573491,4.232883849
104,70007,2022-09-03 00:00:10,-0.012164867,1.043697778,1.941793553,2.918396675,4.005432092
104,70007,2022-09-03 00:00:11,-0.162078798,0.836135214,2.133410487,3.085984299,4.0790017
104,70007,2022-09-03 00:00:12,-0.052487001,0.908243899,2.151764551,3.126626121,3.841822335
104,70007,2022-09-03 00:00:13,0.014651958,1.187183908,2.107739244,3.057298132,4.018833862
104,70007,2022-09-03 00:00:14,0.16982858,1.016270229,1.789625335,3.002565054,4.186861106
104,70007,2022-09-03 00:00:15,-0.075063225,0.884902782,2.148999501,3.166583016,3.996753714
104,70007,2022-09-03 00:00:16,0.046395058,1.09484512,1.809276907,2.993726382,4.057708837
104,70007,2022-09-03 00:00:17,-0.056732703,1.060006053,1.948919027,2.989093108,3.958825678
104,70007,2022-09-03 00:00:18,0.018216093,1.004863825,1.862982,3.268798816,4.140936021
104,70007,2022-09-03 00:00:19,0.041770341,0.859923362,2.207656346,2.928378652,4.02350355
104,70007,2022-09-03 00:00:20,-0.150169669,0.844878165,2.051382865,3.034463752,4.060744913
104,70007,2022-09-03 00:00:21,-0.027967497,0.897591481,1.966078248,2.771301465,3.965406942
104,70007,2022-09-03 00:00:22,-0.115940838,0.984194103,2.086275284,3.032314459,4.062941948
104,70007,2022-09-03 00:00:23,-0.004587946,0.805267384,1.96030069,2.959492904,4.121514798
104,70007,2022-09-03 00:00:24,0.012565799,0.882136593,2.037145561,2.879794718,4.058047506
104,70007,2022-09-03 00:00:25,-0.018420257,1.101303192,1.99882095,3.058845002,3.936163342
104,70007,2022-09-03 00:00:26,-0.071547313,0.859075112,1.930636547,3.040959258,3.917572165
104,70007,2022-09-03 00:00:27,0.036168593,0.945765265,2.019868004,2.958225289,3.974510764
104,70007,2022-09-03 00:00:28,0.057853183,1.039550965,1.973814191,2.866548375,3.93999187
104,70007,2022-09-03 00:00:29,-0.02773338,1.11318968,2.029927533,3.072653199,4.079370193
